Nama Stasiun ,WMO ID,Tanggal,Suhu Minimum (°C),Suhu Maksimum (°C),Suhu Rata-rata (°C),Kelembaban Rata-rata (%),Curah Hujan (mm),Lama Penyinaran (jam),Kecepatan Angin Rata-rata (knot),Kecepatan Angin Terbesar (knot)
Stasiun Meteorologi Perak I,96933,01/06/1987,26,32.4,29.5,78,0,1.8,3,7
Stasiun Meteorologi Perak I,96933,02/06/1987,27,31.8,28.4,82,0,3.4,4,8
Stasiun Meteorologi Perak I,96933,03/06/1987,26,31,28.3,86,4.5,0.8,3,7
Stasiun Meteorologi Perak I,96933,04/06/1987,25.5,32.6,28.7,86,2.4,5,2,6
Stasiun Meteorologi Perak I,96933,05/06/1987,25.5,32.4,29,84,0,7.8,3,4
Stasiun Meteorologi Perak I,96933,06/06/1987,26,32.4,29,82,0,7.6,2,5
Stasiun Meteorologi Perak I,96933,07/06/1987,24.5,33,28.1,83,0,6.5,2,3
Stasiun Meteorologi Perak I,96933,08/06/1987,26.5,32.6,28.8,79,0,8,3,5
Stasiun Meteorologi Perak I,96933,09/06/1987,23.5,32.9,28.5,80,0,8,3,5
Stasiun Meteorologi Perak I,96933,10/06/1987,24,32.8,27.8,78,0,8,3,4
Stasiun Meteorologi Perak I,96933,11/06/1987,23,32,27.9,78,0,7.9,3,5
Stasiun Meteorologi Perak I,96933,12/06/1987,22.5,32.6,27.4,78,0,8,3,6
Stasiun Meteorologi Perak I,96933,13/06/1987,23,32,26.8,82,0,8,2,4
Stasiun Meteorologi Perak I,96933,14/06/1987,22.2,32.8,27.9,75,0,8,3,4
Stasiun Meteorologi Perak I,96933,15/06/1987,22,31.4,26.7,76,0,8,3,7
Stasiun Meteorologi Perak I,96933,16/06/1987,22.5,31.4,26.6,80,0,8,2,4
Stasiun Meteorologi Perak I,96933,17/06/1987,24,31.8,27.1,86,0,7.5,2,5
Stasiun Meteorologi Perak I,96933,18/06/1987,23.5,32.4,27.6,82,0,8,3,4
Stasiun Meteorologi Perak I,96933,19/06/1987,26,32,27.6,87,0,8,3,6
Stasiun Meteorologi Perak I,96933,20/06/1987,24.5,32.5,29.3,84,0,8,4,6
Stasiun Meteorologi Perak I,96933,21/06/1987,25.5,33.2,28.8,82,0,8,3,5
Stasiun Meteorologi Perak I,96933,22/06/1987,23.8,33,28.7,81,0,8,2,4
Stasiun Meteorologi Perak I,96933,23/06/1987,23.3,33,27.4,81,0,8,2,4
Stasiun Meteorologi Perak I,96933,24/06/1987,24.5,32.5,27.1,85,0,8,3,4
Stasiun Meteorologi Perak I,96933,25/06/1987,24,31.8,27.8,85,0,8,3,5
Stasiun Meteorologi Perak I,96933,26/06/1987,22.6,32.2,27.6,81,0,7,2,3
Stasiun Meteorologi Perak I,96933,27/06/1987,22,32.6,27.2,82,0,1.9,2,3
Stasiun Meteorologi Perak I,96933,28/06/1987,23.5,32.8,27.6,81,14.8,6.7,2,3
Stasiun Meteorologi Perak I,96933,29/06/1987,23.6,32.2,27.6,82,26,7.8,2,3
Stasiun Meteorologi Perak I,96933,30/06/1987,25,31,27.7,87,0,7,2,4
Stasiun Meteorologi Perak I,96933,01/07/1987,25,32,28,81,0,8,2,5
Stasiun Meteorologi Perak I,96933,02/07/1987,24,31,26.8,90,0,3.7,2,5
Stasiun Meteorologi Perak I,96933,03/07/1987,24.6,31.6,27.7,85,0,8,3,6
Stasiun Meteorologi Perak I,96933,04/07/1987,23.5,31.4,28.1,87,0,7.9,3,5
Stasiun Meteorologi Perak I,96933,05/07/1987,25.2,31.8,27,85,0,7.1,2,5
Stasiun Meteorologi Perak I,96933,06/07/1987,23.4,31.6,28.4,86,0,8,3,7
Stasiun Meteorologi Perak I,96933,07/07/1987,21.6,31.2,27.4,82,0,7,3,4
Stasiun Meteorologi Perak I,96933,08/07/1987,22.6,31.8,26.2,80,0,7.9,3,4
Stasiun Meteorologi Perak I,96933,09/07/1987,21.6,31.8,26.8,79,0,8,3,4
Stasiun Meteorologi Perak I,96933,10/07/1987,23,31.6,26.6,79,0,8,3,4
Stasiun Meteorologi Perak I,96933,11/07/1987,22,31.8,26.6,78,0,6.9,2,3
Stasiun Meteorologi Perak I,96933,12/07/1987,23,32.2,27,82,0.2,8,2,4
Stasiun Meteorologi Perak I,96933,13/07/1987,22,31.6,27.1,81,0,7,2,4
Stasiun Meteorologi Perak I,96933,14/07/1987,23,31,26.3,84,3.3,1.7,3,4
Stasiun Meteorologi Perak I,96933,15/07/1987,23.7,31.4,27.3,84,20.6,7.3,3,5
Stasiun Meteorologi Perak I,96933,16/07/1987,25.5,31,27,90,0,7.8,3,5
Stasiun Meteorologi Perak I,96933,17/07/1987,24.4,31.6,28.4,84,0,8,3,4
Stasiun Meteorologi Perak I,96933,18/07/1987,22.8,31.6,27.6,85,0,7.8,2,5
Stasiun Meteorologi Perak I,96933,19/07/1987,21.8,31.8,27.1,79,0,8,2,5
Stasiun Meteorologi Perak I,96933,20/07/1987,23.7,31.6,27,82,0,8,2,4
Stasiun Meteorologi Perak I,96933,21/07/1987,22.4,31.2,27,84,0,8,3,6
Stasiun Meteorologi Perak I,96933,22/07/1987,25,31.2,26.4,91,0,7.9,2,4
Stasiun Meteorologi Perak I,96933,23/07/1987,25.4,31.8,27.7,86,0,7.3,3,6
Stasiun Meteorologi Perak I,96933,24/07/1987,25,31.7,27.8,86,0,7.5,3,7
Stasiun Meteorologi Perak I,96933,25/07/1987,24.5,31.4,27.5,85,0,7.8,3,6
Stasiun Meteorologi Perak I,96933,26/07/1987,24.8,31.4,27.5,81,0,8,2,4
Stasiun Meteorologi Perak I,96933,27/07/1987,23.7,31,27.2,84,0,8,2,3
Stasiun Meteorologi Perak I,96933,28/07/1987,25.2,31.2,26.9,80,0,8,2,4
Stasiun Meteorologi Perak I,96933,29/07/1987,24.7,32,28,82,0,7.6,2,4
Stasiun Meteorologi Perak I,96933,30/07/1987,25,32.2,28.2,84,0,8,2,4
Stasiun Meteorologi Perak I,96933,31/07/1987,22.5,32.8,28.7,74,0,8,2,3
Stasiun Meteorologi Perak I,96933,01/08/1987,22,32,26.8,76,0,8,2,4
Stasiun Meteorologi Perak I,96933,02/08/1987,22,32.2,27.1,75,0,8,2,4
Stasiun Meteorologi Perak I,96933,03/08/1987,21.5,32.2,26.6,77,0,8,3,5
Stasiun Meteorologi Perak I,96933,04/08/1987,21,32.2,26.4,72,0,8,2,5
Stasiun Meteorologi Perak I,96933,05/08/1987,21,32.4,27.1,69,0,8,2,3
Stasiun Meteorologi Perak I,96933,06/08/1987,21.5,33.4,26.8,73,0,4.8,2,4
Stasiun Meteorologi Perak I,96933,07/08/1987,23,32.4,26.7,75,0,8,2,5
Stasiun Meteorologi Perak I,96933,08/08/1987,22.5,31.2,26.8,78,0,8,2,6
Stasiun Meteorologi Perak I,96933,09/08/1987,22.4,32,27,78,0,8,2,6
Stasiun Meteorologi Perak I,96933,10/08/1987,20.5,31.2,26.4,82,0,8,3,8
Stasiun Meteorologi Perak I,96933,11/08/1987,21,31.8,26,80,0,8,2,4
Stasiun Meteorologi Perak I,96933,12/08/1987,21.6,32,25.9,80,0,8,2,7
Stasiun Meteorologi Perak I,96933,13/08/1987,20,31.8,26.4,76,0,8,2,6
Stasiun Meteorologi Perak I,96933,14/08/1987,20,31.8,25.8,70,0,8,2,6
Stasiun Meteorologi Perak I,96933,15/08/1987,20.5,32.6,26,65,0,8,3,5
Stasiun Meteorologi Perak I,96933,16/08/1987,21.4,32.8,26.6,64,0,8,2,4
Stasiun Meteorologi Perak I,96933,17/08/1987,22,32.6,27.5,62,0,8,2,5
Stasiun Meteorologi Perak I,96933,18/08/1987,23,32.4,26.8,69,0,8,3,5
Stasiun Meteorologi Perak I,96933,19/08/1987,22.5,31.3,27.1,71,0,8,3,4
Stasiun Meteorologi Perak I,96933,20/08/1987,21,32.4,26.2,74,0,7.5,2,4
Stasiun Meteorologi Perak I,96933,21/08/1987,21,33.2,26.9,62,0,8,3,4
Stasiun Meteorologi Perak I,96933,22/08/1987,21,33.2,26.2,73,0,8,2,5
Stasiun Meteorologi Perak I,96933,23/08/1987,23,33.1,27.1,65,0,8,2,6
Stasiun Meteorologi Perak I,96933,24/08/1987,23,33.2,26.8,70,0,4.6,2,5
Stasiun Meteorologi Perak I,96933,25/08/1987,22.5,32.2,27.9,69,0,7.5,2,7
Stasiun Meteorologi Perak I,96933,26/08/1987,23,33,28.3,66,0,8,2,6
Stasiun Meteorologi Perak I,96933,27/08/1987,21.6,32.2,27.6,65,0,6.7,2,5
Stasiun Meteorologi Perak I,96933,28/08/1987,22,32,27.3,67,0,7.8,3,7
Stasiun Meteorologi Perak I,96933,29/08/1987,22.4,33.8,27.4,66,0,7.3,3,5
Stasiun Meteorologi Perak I,96933,30/08/1987,22,32.8,27.7,64,0,8,3,7
Stasiun Meteorologi Perak I,96933,31/08/1987,23,33,27.6,69,0,8,3,4
Stasiun Meteorologi Perak I,96933,01/09/1987,23.2,35,28.9,61,0,7.3,2,6
Stasiun Meteorologi Perak I,96933,02/09/1987,24.5,33.2,27.4,72,0,7.6,3,6
Stasiun Meteorologi Perak I,96933,03/09/1987,23.3,33.8,28.6,63,0,8,3,7
Stasiun Meteorologi Perak I,96933,04/09/1987,21.2,32.4,27.7,62,0,8,3,7
Stasiun Meteorologi Perak I,96933,05/09/1987,21.5,32.8,27.6,59,0,8,2,4
Stasiun Meteorologi Perak I,96933,06/09/1987,21.5,33.2,28.2,59,0,8,3,5
Stasiun Meteorologi Perak I,96933,07/09/1987,21.6,34.2,27,64,0,8,3,5
Stasiun Meteorologi Perak I,96933,08/09/1987,21.9,33.6,27.4,57,0,8,3,4
Stasiun Meteorologi Perak I,96933,09/09/1987,22,33.5,27.4,65,0,8,2,5
Stasiun Meteorologi Perak I,96933,10/09/1987,22.4,33,27.3,63,0,8,3,6
Stasiun Meteorologi Perak I,96933,11/09/1987,23.8,34.4,28.4,61,0,8,3,5
Stasiun Meteorologi Perak I,96933,12/09/1987,23.7,33.8,27.3,72,0,7,3,5
Stasiun Meteorologi Perak I,96933,13/09/1987,22.2,32.8,28.5,62,0,7,3,6
Stasiun Meteorologi Perak I,96933,14/09/1987,22.4,33,27.4,63,0,8,2,6
Stasiun Meteorologi Perak I,96933,15/09/1987,25,33.6,27.6,64,0,8,3,6
Stasiun Meteorologi Perak I,96933,16/09/1987,25.2,33,29.2,65,0,8,3,6
Stasiun Meteorologi Perak I,96933,17/09/1987,26.4,33,29,68,0,8,4,6
Stasiun Meteorologi Perak I,96933,18/09/1987,25.2,32.8,29.3,69,0,8,4,7
Stasiun Meteorologi Perak I,96933,19/09/1987,23.8,34,29.3,64,0,8,3,6
Stasiun Meteorologi Perak I,96933,20/09/1987,23.4,34.8,29.9,56,0,8,3,8
Stasiun Meteorologi Perak I,96933,21/09/1987,23.4,33.8,28.2,61,0,8,3,8
Stasiun Meteorologi Perak I,96933,22/09/1987,23.5,34,27.9,68,0,8,3,6
Stasiun Meteorologi Perak I,96933,23/09/1987,24.9,33.2,27.9,66,0,8,4,8
Stasiun Meteorologi Perak I,96933,24/09/1987,23.8,33.8,28.2,61,0,8,3,4
Stasiun Meteorologi Perak I,96933,25/09/1987,24,33.4,29.3,67,0,7.2,3,6
Stasiun Meteorologi Perak I,96933,26/09/1987,23.8,33.6,28.6,68,0,7.8,3,6
Stasiun Meteorologi Perak I,96933,27/09/1987,23.2,35,29.3,61,0,8,3,5
Stasiun Meteorologi Perak I,96933,28/09/1987,24.5,35.5,29.5,58,0,8,3,5
Stasiun Meteorologi Perak I,96933,29/09/1987,25,35.8,29.1,64,0,7.9,3,4
Stasiun Meteorologi Perak I,96933,30/09/1987,24.2,35.2,29.5,66,0,7.5,2,4
Stasiun Meteorologi Perak I,96933,01/10/1987,24.2,35.8,29.4,64,0,8,2,6
Stasiun Meteorologi Perak I,96933,02/10/1987,24.5,35.4,29.6,64,0,8,3,8
Stasiun Meteorologi Perak I,96933,03/10/1987,25,35.2,29.5,65,0,8,3,4
Stasiun Meteorologi Perak I,96933,04/10/1987,24.6,35,29.9,62,0,8,2,5
Stasiun Meteorologi Perak I,96933,05/10/1987,23.5,35.4,29.4,62,0,8,3,5
Stasiun Meteorologi Perak I,96933,06/10/1987,23.6,36,30.1,53,0,8,3,6
Stasiun Meteorologi Perak I,96933,07/10/1987,24.5,35.8,30.1,56,0,7.8,3,5
