Nama Stasiun ,WMO ID,Tanggal,Suhu Minimum,Suhu Maksimum,Suhu Rata-rata,Kelembaban Rata-rata,Curah Hujan,Lama Penyinaran,Kecepatan Angin Rata-rata,Kecepatan Angin Terbesar,NINO12,NINO3,NINO3.4,NINO4
Stasiun Meteorologi Perak I,96933,30/04/1987,25.6,33.4,29.4,78,1,7.2,3,7,1.405972,0.7612832,0.3039963,0.2984149
Stasiun Meteorologi Perak I,96933,01/05/1987,25,33.4,28.7,78,0,8,2,6,1.480292,0.7156883,0.2745642,0.3152162
Stasiun Meteorologi Perak I,96933,02/05/1987,25.2,33.8,28.9,79,0,8,2,4,1.545305,0.7615659,0.245393,0.3023864
Stasiun Meteorologi Perak I,96933,03/05/1987,25.2,34.2,29,75,0,5,2,3,1.635001,0.8458782,0.2584734,0.3751063
Stasiun Meteorologi Perak I,96933,04/05/1987,25,34,28.9,72,0,7,3,6,1.646403,0.9491618,0.3105901,0.3715607
Stasiun Meteorologi Perak I,96933,05/05/1987,23.8,33.9,28.7,74,17,6.8,2,4,1.624008,0.9738879,0.3373189,0.2785847
Stasiun Meteorologi Perak I,96933,06/05/1987,24.5,31.6,27.2,85,0,2.9,2,5,1.626389,1.001876,0.4228773,0.19652
Stasiun Meteorologi Perak I,96933,07/05/1987,24,32.6,28,77,15.5,8,2,4,1.682586,0.954372,0.4323837,0.1338416
Stasiun Meteorologi Perak I,96933,08/05/1987,24.2,29.8,27,86,13.3,2.3,3,4,1.628674,0.8783487,0.3738775,0.1296019
Stasiun Meteorologi Perak I,96933,09/05/1987,23.6,30,26.5,88,20.9,0.4,2,4,1.375708,0.8247442,0.2855377,0.1030577
Stasiun Meteorologi Perak I,96933,10/05/1987,23,30.2,27,82,0,0.8,2,4,1.041769,0.7397681,0.2268794,7.49E-02
Stasiun Meteorologi Perak I,96933,11/05/1987,22,31.4,26.8,78,0,6.7,2,3,1.02251,0.6629037,0.2007881,2.29E-02
Stasiun Meteorologi Perak I,96933,12/05/1987,23,33.2,26.6,78,0,8,2,3,0.9077572,0.6573681,0.2620452,6.60E-02
Stasiun Meteorologi Perak I,96933,13/05/1987,24.8,32.6,27.3,80,0,7.6,2,3,0.9306691,0.6026716,0.230058,1.06E-02
Stasiun Meteorologi Perak I,96933,14/05/1987,25.5,32.8,28.5,81,0,5.3,3,6,0.8673918,0.7490757,0.3299124,-5.50E-02
Stasiun Meteorologi Perak I,96933,15/05/1987,25.6,32.8,29.1,79,0.4,7.2,2,6,0.7932141,0.8819157,0.3250862,-9.64E-02
Stasiun Meteorologi Perak I,96933,16/05/1987,25.2,32.4,29.1,78,0,8,3,7,0.6545634,0.8969405,0.4241157,3.14E-02
Stasiun Meteorologi Perak I,96933,17/05/1987,23.8,33.2,29,70,0,8,2,4,0.7511089,0.8919223,0.6147379,0.1676907
Stasiun Meteorologi Perak I,96933,18/05/1987,23.6,32.6,27.9,76,0,7.8,2,5,0.7778273,0.8355935,0.6875374,0.2109357
Stasiun Meteorologi Perak I,96933,19/05/1987,26,32.4,27.9,80,0,8,3,6,0.5947485,0.8136913,0.7256979,0.2257403
Stasiun Meteorologi Perak I,96933,20/05/1987,24,32.6,28.9,74,0,8,2,6,0.5415196,0.7847346,0.6385056,0.21478
Stasiun Meteorologi Perak I,96933,21/05/1987,26.2,32.9,28.2,74,0,8,2,6,0.610037,0.7581434,0.6411781,0.3339083
Stasiun Meteorologi Perak I,96933,22/05/1987,26.4,32.4,28.3,78,0,8,3,6,0.7606097,0.8199396,0.7070858,0.4234135
Stasiun Meteorologi Perak I,96933,23/05/1987,24,32.8,29.5,70,0,8,4,8,0.9750485,0.8952653,0.769946,0.403974
Stasiun Meteorologi Perak I,96933,24/05/1987,24,33.2,28.8,74,0,7.7,3,4,0.9833353,0.8962824,0.7778898,0.400548
Stasiun Meteorologi Perak I,96933,25/05/1987,24,32,28,71,0,7.9,3,6,1.085083,0.8757263,0.7487784,0.4482484
Stasiun Meteorologi Perak I,96933,26/05/1987,25,32.8,28,77,0,7.2,2,4,1.058199,0.8084277,0.6407235,0.4727277
Stasiun Meteorologi Perak I,96933,27/05/1987,24.5,32.6,28,77,0,7.8,2,4,1.009768,0.7204199,0.508058,0.432166
Stasiun Meteorologi Perak I,96933,28/05/1987,24.5,32.4,27.9,79,0,7.7,2,4,0.9643843,0.6361752,0.4152773,0.4215673
Stasiun Meteorologi Perak I,96933,29/05/1987,25.4,31.4,28.5,80,0.3,6.7,2,4,0.9783177,0.5830927,0.4795575,0.435506
Stasiun Meteorologi Perak I,96933,30/05/1987,25,32.3,29.2,80,0,5.5,3,6,0.9561607,0.4925417,0.4439652,0.4588531
Stasiun Meteorologi Perak I,96933,31/05/1987,25.2,32.4,29.7,76,0,7.2,3,6,0.8226599,0.4626543,0.4326484,0.4525487
Stasiun Meteorologi Perak I,96933,01/06/1987,26,32.4,29.5,78,0,1.8,3,7,0.85655,0.4348229,0.4868589,0.5153155
Stasiun Meteorologi Perak I,96933,02/06/1987,27,31.8,28.4,82,0,3.4,4,8,0.8680604,0.4080402,0.6255977,0.6802481
Stasiun Meteorologi Perak I,96933,03/06/1987,26,31,28.3,86,4.5,0.8,3,7,0.9005508,0.3736751,0.66206,0.6776176
Stasiun Meteorologi Perak I,96933,04/06/1987,25.5,32.6,28.7,86,2.4,5,2,6,1.088166,0.3528928,0.6014926,0.5214543
Stasiun Meteorologi Perak I,96933,05/06/1987,25.5,32.4,29,84,0,7.8,3,4,1.133545,0.4040492,0.6037157,0.4234938
Stasiun Meteorologi Perak I,96933,06/06/1987,26,32.4,29,82,0,7.6,2,5,1.019918,0.3955333,0.5058028,0.363825
Stasiun Meteorologi Perak I,96933,07/06/1987,24.5,33,28.1,83,0,6.5,2,3,0.9185989,0.3595571,0.3870541,0.2009699
Stasiun Meteorologi Perak I,96933,08/06/1987,26.5,32.6,28.8,79,0,8,3,5,0.9213496,0.3601381,0.4284638,0.2254263
Stasiun Meteorologi Perak I,96933,09/06/1987,23.5,32.9,28.5,80,0,8,3,5,0.9752464,0.3970644,0.402183,0.3945726
Stasiun Meteorologi Perak I,96933,10/06/1987,24,32.8,27.8,78,0,8,3,4,0.9480538,0.3656122,0.3769726,0.4554923
Stasiun Meteorologi Perak I,96933,11/06/1987,23,32,27.9,78,0,7.9,3,5,0.9377981,0.3947262,0.5024754,0.5132194
Stasiun Meteorologi Perak I,96933,12/06/1987,22.5,32.6,27.4,78,0,8,3,6,0.8777366,0.6843776,0.8858157,0.4494359
Stasiun Meteorologi Perak I,96933,13/06/1987,23,32,26.8,82,0,8,2,4,0.7684569,0.7946705,0.8689939,0.2256349
Stasiun Meteorologi Perak I,96933,14/06/1987,22.2,32.8,27.9,75,0,8,3,4,0.7516175,0.8325823,0.8589089,0.2211472
Stasiun Meteorologi Perak I,96933,15/06/1987,22,31.4,26.7,76,0,8,3,7,0.8022264,0.9464163,0.8970246,0.2423126
Stasiun Meteorologi Perak I,96933,16/06/1987,22.5,31.4,26.6,80,0,8,2,4,0.7581946,0.9298558,0.916442,0.3169006
Stasiun Meteorologi Perak I,96933,17/06/1987,24,31.8,27.1,86,0,7.5,2,5,0.6789343,0.9095799,0.9775418,0.3975249
Stasiun Meteorologi Perak I,96933,18/06/1987,23.5,32.4,27.6,82,0,8,3,4,0.5770579,0.9151773,1.093218,0.5425851
Stasiun Meteorologi Perak I,96933,19/06/1987,26,32,27.6,87,0,8,3,6,0.5127643,0.90357,1.176451,0.6896861
Stasiun Meteorologi Perak I,96933,20/06/1987,24.5,32.5,29.3,84,0,8,4,6,0.4057494,0.9733605,1.31273,0.7856382
Stasiun Meteorologi Perak I,96933,21/06/1987,25.5,33.2,28.8,82,0,8,3,5,0.4081405,1.083962,1.389363,0.7356619
Stasiun Meteorologi Perak I,96933,22/06/1987,23.8,33,28.7,81,0,8,2,4,0.4024696,1.048681,1.372113,0.7093458
Stasiun Meteorologi Perak I,96933,23/06/1987,23.3,33,27.4,81,0,8,2,4,0.4317548,0.9873281,1.325435,0.7053307
Stasiun Meteorologi Perak I,96933,24/06/1987,24.5,32.5,27.1,85,0,8,3,4,0.5434115,1.008864,1.326311,0.7427828
Stasiun Meteorologi Perak I,96933,25/06/1987,24,31.8,27.8,85,0,8,3,5,0.6580063,1.026371,1.352819,0.8054692
Stasiun Meteorologi Perak I,96933,26/06/1987,22.6,32.2,27.6,81,0,7,2,3,0.7339562,1.0197,1.407328,0.8745018
Stasiun Meteorologi Perak I,96933,27/06/1987,22,32.6,27.2,82,0,1.9,2,3,0.9084316,0.9779048,1.434713,0.928037
Stasiun Meteorologi Perak I,96933,28/06/1987,23.5,32.8,27.6,81,14.8,6.7,2,3,0.9482328,0.9745129,1.527358,1.100047
Stasiun Meteorologi Perak I,96933,29/06/1987,23.6,32.2,27.6,82,26,7.8,2,3,0.9483223,0.9986007,1.470275,1.115476
Stasiun Meteorologi Perak I,96933,30/06/1987,25,31,27.7,87,0,7,2,4,1.060045,1.044273,1.297773,1.018456
Stasiun Meteorologi Perak I,96933,01/07/1987,25,32,28,81,0,8,2,5,1.0161,1.07471,1.322321,0.968038
Stasiun Meteorologi Perak I,96933,02/07/1987,24,31,26.8,90,0,3.7,2,5,0.863462,1.074059,1.349206,0.9468974
Stasiun Meteorologi Perak I,96933,03/07/1987,24.6,31.6,27.7,85,0,8,3,6,0.798092,1.131431,1.357219,0.8873457
